learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1321,4.2376,0.5013,10,128
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1221,4.2279,0.5028,10,128
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1322,4.2378,0.5088,10,128
1e-06,RMSprop,NeuCMFi0,0.001,500,4.1226,4.2284,0.489,10,512
1e-06,RMSprop,NeuCMFi0,0.001,1000,4.1174,4.2233,0.446,10,512
1e-06,RMSprop,NeuCMFi0,0.1,500,4.1182,4.2241,0.4928,10,512
1e-06,RMSprop,NeuCMFi0,0.1,1000,4.1302,4.2358,0.4852,10,512
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1222,4.228,0.5446,10,32
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.1232,4.2289,0.537,10,32
1e-06,RMSprop,NeuCMF0i,0.1,500,4.1225,4.2282,0.5396,10,32
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1235,4.2292,0.5332,10,32
1e-06,RMSprop,NeuCMF0i,0.001,500,4.0998,4.2061,0.4969,10,128
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.0897,4.1963,0.5166,10,128
1e-06,RMSprop,NeuCMF0i,0.1,500,4.0758,4.1827,0.4889,10,128
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1023,4.2086,0.492,10,128
1e-06,RMSprop,NeuCMF0i,0.001,500,4.1386,4.244,0.501,10,512
1e-06,RMSprop,NeuCMF0i,0.001,1000,4.128,4.2336,0.449,10,512
1e-06,RMSprop,NeuCMF0i,0.1,500,4.116,4.2219,0.5157,10,512
1e-06,RMSprop,NeuCMF0i,0.1,1000,4.1378,4.2432,0.4875,10,512
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1346,4.24,0.4933,10,32
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1347,4.2401,0.5403,10,32
1e-06,RMSprop,NeuCMFw0,0.1,500,4.134,4.2395,0.5243,10,32
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1347,4.2401,0.5257,10,32
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1214,4.2272,0.4881,10,128
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1215,4.2273,0.4971,10,128
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1199,4.2257,0.5289,10,128
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1194,4.2253,0.5162,10,128
1e-06,RMSprop,NeuCMFw0,0.001,500,4.1157,4.2216,0.4642,10,512
1e-06,RMSprop,NeuCMFw0,0.001,1000,4.1117,4.2177,0.5129,10,512
1e-06,RMSprop,NeuCMFw0,0.1,500,4.1293,4.2349,0.5148,10,512
1e-06,RMSprop,NeuCMFw0,0.1,1000,4.1304,4.236,0.5056,10,512
1e-06,RMSprop,NeuCMF0w,0.001,500,4.115,4.2209,0.5055,10,32
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1154,4.2214,0.4806,10,32
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1151,4.2211,0.5055,10,32
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1155,4.2214,0.5032,10,32
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1273,4.233,0.4975,10,128
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1277,4.2334,0.5139,10,128
1e-06,RMSprop,NeuCMF0w,0.1,500,4.1117,4.2178,0.5177,10,128
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1122,4.2182,0.4963,10,128
1e-06,RMSprop,NeuCMF0w,0.001,500,4.1216,4.2273,0.4996,10,512
1e-06,RMSprop,NeuCMF0w,0.001,1000,4.1144,4.2204,0.5026,10,512
1e-06,RMSprop,NeuCMF0w,0.1,500,4.105,4.2112,0.4979,10,512
1e-06,RMSprop,NeuCMF0w,0.1,1000,4.1382,4.2436,0.4994,10,512
1e-06,adam,NeuCMFii,0.001,500,4.1136,4.2196,0.4386,20,32
1e-06,adam,NeuCMFii,0.001,1000,4.1286,4.2342,0.4687,20,32
1e-06,adam,NeuCMFii,0.1,500,4.1143,4.2203,0.4515,20,32
1e-06,adam,NeuCMFii,0.1,1000,4.1155,4.2214,0.4622,20,32
1e-06,adam,NeuCMFii,0.001,500,4.1169,4.2228,0.4964,20,128
1e-06,adam,NeuCMFii,0.001,1000,4.1185,4.2243,0.5123,20,128
1e-06,adam,NeuCMFii,0.1,500,4.1109,4.2169,0.4643,20,128
1e-06,adam,NeuCMFii,0.1,1000,4.1021,4.2084,0.5134,20,128
1e-06,adam,NeuCMFii,0.001,500,4.0887,4.1953,0.5123,20,512
1e-06,adam,NeuCMFii,0.001,1000,4.1245,4.2303,0.5009,20,512
1e-06,adam,NeuCMFii,0.1,500,4.0988,4.2052,0.49,20,512
1e-06,adam,NeuCMFii,0.1,1000,4.1184,4.2242,0.5121,20,512
1e-06,adam,NeuCMFww,0.001,500,4.1194,4.2253,0.5239,20,32
1e-06,adam,NeuCMFww,0.001,1000,4.12,4.2258,0.5064,20,32
1e-06,adam,NeuCMFww,0.1,500,4.1196,4.2254,0.5073,20,32
1e-06,adam,NeuCMFww,0.1,1000,4.1201,4.2259,0.5079,20,32
1e-06,adam,NeuCMFww,0.001,500,4.1265,4.2322,0.498,20,128
1e-06,adam,NeuCMFww,0.001,1000,4.1283,4.2339,0.4698,20,128
1e-06,adam,NeuCMFww,0.1,500,4.1171,4.223,0.5087,20,128
1e-06,adam,NeuCMFww,0.1,1000,4.1229,4.2287,0.4753,20,128
1e-06,adam,NeuCMFww,0.001,500,4.1152,4.2212,0.4868,20,512
1e-06,adam,NeuCMFww,0.001,1000,4.1223,4.228,0.4874,20,512
1e-06,adam,NeuCMFww,0.1,500,4.1091,4.2152,0.5294,20,512
1e-06,adam,NeuCMFww,0.1,1000,4.1071,4.2133,0.49,20,512
1e-06,adam,NeuCMFi0,0.001,500,4.1328,4.2383,0.4821,20,32
1e-06,adam,NeuCMFi0,0.001,1000,4.1256,4.2313,0.4754,20,32
1e-06,adam,NeuCMFi0,0.1,500,4.1383,4.2436,0.4968,20,32
1e-06,adam,NeuCMFi0,0.1,1000,4.1378,4.2432,0.4785,20,32
1e-06,adam,NeuCMFi0,0.001,500,4.1215,4.2273,0.5215,20,128
1e-06,adam,NeuCMFi0,0.001,1000,4.1222,4.228,0.5286,20,128
