learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
1e-05,RMSprop,DeepFM,0.001,500,0.4834,0.6506,0.564,20,512
1e-05,RMSprop,DeepFM,0.001,1000,0.4985,0.6517,0.563,20,512
1e-05,RMSprop,DeepFM,0.1,500,0.6706,0.829,0.5409,20,512
1e-05,RMSprop,DeepFM,0.1,1000,0.6735,0.8323,0.5406,20,512
1e-05,adam,FM,0.001,500,0.6118,0.7561,0.5649,30,32
1e-05,adam,FM,0.001,1000,0.6362,0.807,0.5777,30,32
1e-05,adam,FM,0.1,500,0.676,0.8372,0.5481,30,32
1e-05,adam,FM,0.1,1000,0.6998,0.8702,0.559,30,32
1e-05,adam,FM,0.001,500,0.5673,0.707,0.5605,30,128
1e-05,adam,FM,0.001,1000,0.5977,0.7397,0.5636,30,128
1e-05,adam,FM,0.1,500,0.6709,0.8286,0.5419,30,128
1e-05,adam,FM,0.1,1000,0.6771,0.8383,0.5484,30,128
1e-05,adam,FM,0.001,500,0.5328,0.6738,0.5588,30,512
1e-05,adam,FM,0.001,1000,0.5554,0.6939,0.5599,30,512
1e-05,adam,FM,0.1,500,0.6684,0.8263,0.5421,30,512
1e-05,adam,FM,0.1,1000,0.6713,0.8291,0.5419,30,512
1e-05,adam,DeepFM,0.001,500,0.4888,0.656,0.5641,30,32
1e-05,adam,DeepFM,0.001,1000,0.5669,0.7185,0.5659,30,32
1e-05,adam,DeepFM,0.1,500,0.6776,0.8417,0.5456,30,32
1e-05,adam,DeepFM,0.1,1000,0.6922,0.8654,0.5574,30,32
1e-05,adam,DeepFM,0.001,500,0.4864,0.6538,0.5635,30,128
1e-05,adam,DeepFM,0.001,1000,0.4926,0.653,0.5629,30,128
1e-05,adam,DeepFM,0.1,500,0.6721,0.8303,0.5411,30,128
1e-05,adam,DeepFM,0.1,1000,0.6775,0.8404,0.5466,30,128
