learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
1e-06,adam,128,0.1,500,30,4.974987030029297,4.97513290304431
1e-06,adam,128,0.1,500,30,4.986649036407471,4.986746962065739
1e-06,adam,128,0.1,500,30,4.109831809997559,4.122563654105697
1e-06,adam,128,0.1,500,30,3.965391159057617,3.968839148774207
1e-06,adam,128,0.1,500,30,2.5879242420196533,2.665532665733032
1e-06,adam,128,0.1,1000,30,5.011160850524902,5.011278973117655
1e-06,adam,128,0.1,1000,30,5.000133514404297,5.0002336447485325
1e-06,adam,128,0.1,1000,30,4.132946014404297,4.145693113681024
1e-06,adam,128,0.1,1000,30,3.9806602001190186,3.984075796823397
1e-06,adam,128,0.1,1000,30,2.5878472328186035,2.6655211273025836
1e-06,adam,512,0.001,500,10,4.984858989715576,4.984988183836865
1e-06,adam,512,0.001,500,10,4.979579448699951,4.979718655218569
1e-06,adam,512,0.001,500,10,4.107091426849365,4.119883282684044
1e-06,adam,512,0.001,500,10,3.9510648250579834,3.954538688135686
1e-06,adam,512,0.001,500,10,2.584763765335083,2.6623456238599505
1e-06,adam,512,0.001,1000,10,5.003257751464844,5.00337410568171
1e-06,adam,512,0.001,1000,10,4.984699249267578,4.984832646995753
1e-06,adam,512,0.001,1000,10,4.102970123291016,4.115681845258645
1e-06,adam,512,0.001,1000,10,3.973574161529541,3.9769807307078917
1e-06,adam,512,0.001,1000,10,2.597496747970581,2.6748234949080945
1e-06,adam,512,0.001,500,20,4.980514049530029,4.980629018561031
1e-06,adam,512,0.001,500,20,5.008018970489502,5.008150514808785
1e-06,adam,512,0.001,500,20,4.103734493255615,4.11647493685577
1e-06,adam,512,0.001,500,20,3.9712047576904297,3.974627730493549
1e-06,adam,512,0.001,500,20,2.5832419395446777,2.660840992457064
1e-06,adam,512,0.001,1000,20,4.9925312995910645,4.992657992977175
1e-06,adam,512,0.001,1000,20,5.005113124847412,5.005217500242266
1e-06,adam,512,0.001,1000,20,4.108842849731445,4.121751604409483
1e-06,adam,512,0.001,1000,20,3.9737255573272705,3.9771158549099956
1e-06,adam,512,0.001,1000,20,2.5897204875946045,2.667275557938763
1e-06,adam,512,0.001,500,30,4.983259201049805,4.983371549904194
1e-06,adam,512,0.001,500,30,4.9933762550354,4.99347986438374
