learning_rate,learner,model,weight_decay,train_batch_size,mae,rmse,auc_roc,epoch,embedding_size
0.001,adam,NeuCMF0i,0.001,1000,0.5345,0.6902,0.5531,10,32
0.001,adam,NeuCMF0i,0.1,500,0.6937,0.8676,0.5129,10,32
0.001,adam,NeuCMF0i,0.1,1000,0.6936,0.8668,0.5093,10,32
0.001,adam,NeuCMF0i,0.001,500,0.5365,0.6936,0.5545,10,128
0.001,adam,NeuCMF0i,0.001,1000,0.536,0.6902,0.5532,10,128
0.001,adam,NeuCMF0i,0.1,500,0.6941,0.8663,0.5098,10,128
0.001,adam,NeuCMF0i,0.1,1000,0.6937,0.8674,0.5148,10,128
0.001,adam,NeuCMF0i,0.001,500,0.5351,0.6901,0.5526,10,512
0.001,adam,NeuCMF0i,0.001,1000,0.5348,0.6915,0.5521,10,512
0.001,adam,NeuCMF0i,0.1,500,0.6945,0.8671,0.517,10,512
0.001,adam,NeuCMF0i,0.1,1000,0.6936,0.8677,0.5148,10,512
0.001,adam,NeuCMFw0,0.001,500,0.5836,0.7541,0.5463,10,32
0.001,adam,NeuCMFw0,0.001,1000,0.5861,0.755,0.5453,10,32
0.001,adam,NeuCMFw0,0.1,500,0.7094,0.8948,0.5,10,32
0.001,adam,NeuCMFw0,0.1,1000,0.7089,0.8947,0.5083,10,32
0.001,adam,NeuCMFw0,0.001,500,0.5839,0.7547,0.5464,10,128
0.001,adam,NeuCMFw0,0.001,1000,0.5863,0.7546,0.5438,10,128
0.001,adam,NeuCMFw0,0.1,500,0.7089,0.8947,0.5,10,128
0.001,adam,NeuCMFw0,0.1,1000,0.7109,0.895,0.5,10,128
0.001,adam,NeuCMFw0,0.001,500,0.5853,0.7547,0.5455,10,512
0.001,adam,NeuCMFw0,0.001,1000,0.5864,0.7558,0.5461,10,512
0.001,adam,NeuCMFw0,0.1,500,0.7086,0.8947,0.5,10,512
0.001,adam,NeuCMFw0,0.1,1000,0.7103,0.895,0.5,10,512
0.001,adam,NeuCMF0w,0.001,500,0.5317,0.6908,0.5503,10,32
0.001,adam,NeuCMF0w,0.001,1000,0.5359,0.6942,0.5494,10,32
0.001,adam,NeuCMF0w,0.1,500,0.7098,0.8948,0.5,10,32
0.001,adam,NeuCMF0w,0.1,1000,0.7083,0.8948,0.514,10,32
0.001,adam,NeuCMF0w,0.001,500,0.5304,0.687,0.5516,10,128
0.001,adam,NeuCMF0w,0.001,1000,0.5359,0.6955,0.552,10,128
0.001,adam,NeuCMF0w,0.1,500,0.7071,0.895,0.5,10,128
0.001,adam,NeuCMF0w,0.1,1000,0.7098,0.8948,0.5208,10,128
0.001,adam,NeuCMF0w,0.001,500,0.5316,0.6898,0.5512,10,512
0.001,adam,NeuCMF0w,0.001,1000,0.5385,0.6961,0.5505,10,512
0.001,adam,NeuCMF0w,0.1,500,0.709,0.8947,0.5,10,512
0.001,adam,NeuCMF0w,0.1,1000,0.7099,0.8948,0.5105,10,512
0.001,RMSprop,NeuCMFii,0.001,500,0.4606,0.6136,0.5479,10,32
0.001,RMSprop,NeuCMFii,0.001,1000,0.4613,0.613,0.547,10,32
0.001,RMSprop,NeuCMFii,0.1,500,0.6892,0.8617,0.526,10,32
0.001,RMSprop,NeuCMFii,0.1,1000,0.6868,0.8564,0.5307,10,32
0.001,RMSprop,NeuCMFii,0.001,500,0.4605,0.6132,0.5478,10,128
0.001,RMSprop,NeuCMFii,0.001,1000,0.4603,0.6133,0.5474,10,128
0.001,RMSprop,NeuCMFii,0.1,500,0.6887,0.8602,0.5311,10,128
0.001,RMSprop,NeuCMFii,0.1,1000,0.6881,0.8587,0.5289,10,128
0.001,RMSprop,NeuCMFii,0.001,500,0.4596,0.6138,0.5475,10,512
0.001,RMSprop,NeuCMFii,0.001,1000,0.4596,0.6117,0.5471,10,512
0.001,RMSprop,NeuCMFii,0.1,500,0.6883,0.8597,0.5317,10,512
0.001,RMSprop,NeuCMFii,0.1,1000,0.6899,0.8617,0.5249,10,512
0.001,RMSprop,NeuCMFww,0.001,500,0.5275,0.6867,0.551,10,32
0.001,RMSprop,NeuCMFww,0.001,1000,0.5299,0.6894,0.5499,10,32
0.001,RMSprop,NeuCMFww,0.1,500,0.709,0.8947,0.4984,10,32
0.001,RMSprop,NeuCMFww,0.1,1000,0.7097,0.8948,0.4809,10,32
0.001,RMSprop,NeuCMFww,0.001,500,0.5265,0.687,0.5504,10,128
0.001,RMSprop,NeuCMFww,0.001,1000,0.5293,0.6903,0.5509,10,128
0.001,RMSprop,NeuCMFww,0.1,500,0.7097,0.8948,0.475,10,128
0.001,RMSprop,NeuCMFww,0.1,1000,0.7089,0.8947,0.4847,10,128
0.001,RMSprop,NeuCMFww,0.001,500,0.5255,0.6856,0.5517,10,512
0.001,RMSprop,NeuCMFww,0.001,1000,0.5305,0.692,0.5516,10,512
0.001,RMSprop,NeuCMFww,0.1,500,0.7084,0.8947,0.487,10,512
0.001,RMSprop,NeuCMFww,0.1,1000,0.7089,0.8947,0.47,10,512
0.001,RMSprop,NeuCMFi0,0.001,500,0.4656,0.6169,0.5466,10,32
0.001,RMSprop,NeuCMFi0,0.001,1000,0.4665,0.6162,0.546,10,32
0.001,RMSprop,NeuCMFi0,0.1,500,0.7017,0.8825,0.5602,10,32
0.001,RMSprop,NeuCMFi0,0.1,1000,0.7014,0.8795,0.565,10,32
0.001,RMSprop,NeuCMFi0,0.001,500,0.4663,0.6168,0.5465,10,128
0.001,RMSprop,NeuCMFi0,0.001,1000,0.4663,0.6157,0.546,10,128
0.001,RMSprop,NeuCMFi0,0.1,500,0.7023,0.8842,0.5678,10,128
0.001,RMSprop,NeuCMFi0,0.1,1000,0.7036,0.8823,0.5685,10,128
0.001,RMSprop,NeuCMFi0,0.001,500,0.4661,0.6174,0.5463,10,512
0.001,RMSprop,NeuCMFi0,0.001,1000,0.4672,0.6173,0.5458,10,512
0.001,RMSprop,NeuCMFi0,0.1,500,0.7043,0.8844,0.5645,10,512
0.001,RMSprop,NeuCMFi0,0.1,1000,0.7005,0.8781,0.5647,10,512
0.001,RMSprop,NeuCMF0i,0.001,500,0.5483,0.7,0.5535,10,32
0.001,RMSprop,NeuCMF0i,0.001,1000,0.5544,0.7103,0.5544,10,32
0.001,RMSprop,NeuCMF0i,0.1,500,0.6938,0.8684,0.5146,10,32
0.001,RMSprop,NeuCMF0i,0.1,1000,0.6946,0.8685,0.5115,10,32
0.001,RMSprop,NeuCMF0i,0.001,500,0.5485,0.7032,0.5541,10,128
0.001,RMSprop,NeuCMF0i,0.001,1000,0.5562,0.7105,0.553,10,128
0.001,RMSprop,NeuCMF0i,0.1,500,0.6938,0.869,0.5088,10,128
0.001,RMSprop,NeuCMF0i,0.1,1000,0.6948,0.869,0.5089,10,128
0.001,RMSprop,NeuCMF0i,0.001,500,0.5546,0.7144,0.5549,10,512
0.001,RMSprop,NeuCMF0i,0.001,1000,0.5604,0.7138,0.5525,10,512
0.001,RMSprop,NeuCMF0i,0.1,500,0.6948,0.869,0.5086,10,512
0.001,RMSprop,NeuCMF0i,0.1,1000,0.6947,0.8696,0.5145,10,512
0.001,RMSprop,NeuCMFw0,0.001,500,0.5837,0.7545,0.5463,10,32
0.001,RMSprop,NeuCMFw0,0.001,1000,0.5837,0.755,0.5455,10,32
0.001,RMSprop,NeuCMFw0,0.1,500,0.7069,0.8945,0.5002,10,32
0.001,RMSprop,NeuCMFw0,0.1,1000,0.7094,0.8948,0.4978,10,32
0.001,RMSprop,NeuCMFw0,0.001,500,0.5825,0.7547,0.5465,10,128
0.001,RMSprop,NeuCMFw0,0.001,1000,0.5853,0.7538,0.5445,10,128
0.001,RMSprop,NeuCMFw0,0.1,500,0.7067,0.8945,0.4667,10,128
0.001,RMSprop,NeuCMFw0,0.1,1000,0.709,0.8947,0.4679,10,128
0.001,RMSprop,NeuCMFw0,0.001,500,0.5835,0.7548,0.5461,10,512
0.001,RMSprop,NeuCMFw0,0.001,1000,0.5835,0.7541,0.5466,10,512
0.001,RMSprop,NeuCMFw0,0.1,500,0.7084,0.8947,0.4901,10,512
0.001,RMSprop,NeuCMFw0,0.1,1000,0.7076,0.8945,0.4909,10,512
0.001,RMSprop,NeuCMF0w,0.001,500,0.5245,0.685,0.5521,10,32
0.001,RMSprop,NeuCMF0w,0.001,1000,0.5286,0.6887,0.5511,10,32
0.001,RMSprop,NeuCMF0w,0.1,500,0.7088,0.8946,0.4746,10,32
0.001,RMSprop,NeuCMF0w,0.1,1000,0.7082,0.8947,0.4725,10,32
0.001,RMSprop,NeuCMF0w,0.001,500,0.5246,0.6874,0.5528,10,128
0.001,RMSprop,NeuCMF0w,0.001,1000,0.5289,0.6894,0.5513,10,128
0.001,RMSprop,NeuCMF0w,0.1,500,0.7066,0.8945,0.485,10,128
0.001,RMSprop,NeuCMF0w,0.1,1000,0.7082,0.8947,0.4624,10,128
0.001,RMSprop,NeuCMF0w,0.001,500,0.5276,0.6874,0.5519,10,512
0.001,RMSprop,NeuCMF0w,0.001,1000,0.5288,0.69,0.5503,10,512
0.001,RMSprop,NeuCMF0w,0.1,500,0.7038,0.8946,0.4577,10,512
0.001,RMSprop,NeuCMF0w,0.1,1000,0.7087,0.8947,0.4975,10,512
0.1,adam,NeuCMFii,0.001,500,0.5965,0.8057,0.5359,10,32
0.1,adam,NeuCMFii,0.001,1000,1.0113,1.4067,0.5074,10,32
0.1,adam,NeuCMFii,0.1,500,0.6994,0.8849,0.522,10,32
