,learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse
190,0.001,adam,32,0.1,1000,20,0.597269070148468,0.7638511075283412
191,0.001,adam,32,0.1,1000,30,0.5949889183044433,0.7635632780794992
192,0.001,adam,128,0.001,500,10,0.5964186310768127,0.763042424748552
193,0.001,adam,128,0.001,500,20,0.5950127482414246,0.7626609666816919
194,0.001,adam,128,0.001,500,30,0.5937209367752075,0.7619284527485511
195,0.001,adam,128,0.001,1000,10,0.5978442192077636,0.7644152538189262
196,0.001,adam,128,0.001,1000,20,0.5943042039871216,0.7623050855122565
197,0.001,adam,128,0.001,1000,30,0.5944076776504517,0.7626605035020219
198,0.001,adam,128,0.1,500,10,0.5955053806304932,0.762255860361801
199,0.001,adam,128,0.1,500,20,0.5940876007080078,0.7622798727912905
200,0.001,adam,128,0.1,500,30,0.5934415698051453,0.7623992824651513
201,0.001,adam,128,0.1,1000,10,0.5967666745185852,0.7633421555210873
202,0.001,adam,128,0.1,1000,20,0.5945405006408692,0.7623599997435995
203,0.001,adam,128,0.1,1000,30,0.5936200141906738,0.7622507932816233
204,0.001,adam,512,0.001,500,10,0.5952825665473938,0.7620774842118951
205,0.001,adam,512,0.001,500,20,0.5947996973991394,0.7623091909924803
206,0.001,adam,512,0.001,500,30,0.5945380210876465,0.7624545891195671
207,0.001,adam,512,0.001,1000,10,0.5961893558502197,0.7633456795386778
208,0.001,adam,512,0.001,1000,20,0.5941547155380249,0.7625949579780101
209,0.001,adam,512,0.001,1000,30,0.5940303564071655,0.7622115336397062
210,0.001,adam,512,0.1,500,10,0.5953656077384949,0.7627410091662699
211,0.001,adam,512,0.1,500,20,0.5950026154518128,0.7627922004652151
212,0.001,adam,512,0.1,500,30,0.5940868258476257,0.7625673768818505
213,0.001,adam,512,0.1,1000,10,0.5968770265579224,0.7625922219519227
214,0.001,adam,512,0.1,1000,20,0.5939105987548828,0.7625512616734758
215,0.001,adam,512,0.1,1000,30,0.5934990525245667,0.7620513260241359
216,0.1,RMSprop,32,0.001,500,10,0.6843724131584168,0.833063203234347
217,0.1,RMSprop,32,0.001,500,20,0.673751437664032,0.8290169879746999
