learning_rate,learner,embedding_size,weight_decay,train_batch_size,epoch,mae,rmse,test_no
0.1,adam,128,0.1,500,10,0.9412947237491608,1.0891115566134562,0
0.1,adam,128,0.1,1000,10,0.9258914172649384,1.194305055208103,0
0.1,adam,128,0.1,500,20,0.8933155834674835,1.0331050617142572,0
0.1,adam,128,0.1,1000,20,0.9593953251838684,1.1271765608080897,0
0.1,adam,128,0.1,500,30,0.9268267393112184,1.0785398597301792,0
0.1,adam,128,0.1,1000,30,1.0109952330589294,1.1588300581006632,0
0.1,adam,512,0.001,500,10,1.0676795065402984,1.9581206710139305,0
0.1,adam,512,0.001,1000,10,1.06229287981987,1.937650508572188,0
0.1,adam,512,0.001,500,20,1.038554972410202,1.5229749241378243,0
0.1,adam,512,0.001,1000,20,1.14652179479599,1.6780277071263492,0
0.1,adam,512,0.001,500,30,2.5495423078536987,4.701899255347475,0
0.1,adam,512,0.001,1000,30,1.0107547521591187,1.237740292001961,0
0.1,adam,512,0.1,500,10,0.9854860603809356,1.4937689025832095,0
0.1,adam,512,0.1,1000,10,1.1429303646087647,3.79195135046941,0
0.1,adam,512,0.1,500,20,1.0517802119255066,1.324096199148799,0
0.1,adam,512,0.1,1000,20,0.9626509636640548,2.5793730240840382,0
0.1,adam,512,0.1,500,30,0.9974909961223604,1.2154794017414756,0
0.1,adam,512,0.1,1000,30,0.9919738709926604,2.124351222911629,0
0.1,RMSprop,32,0.001,500,10,0.8780756622552872,1.029950115400042,0
0.1,RMSprop,32,0.001,1000,10,0.8505899101495743,1.0511055513266394,0
0.1,RMSprop,32,0.001,500,20,0.8356085330247879,0.9707793952252476,0
0.1,RMSprop,32,0.001,1000,20,0.8769868969917297,1.0079943248938137,0
0.1,RMSprop,32,0.001,500,30,0.918684297800064,1.0271593283703138,0
0.1,RMSprop,32,0.001,1000,30,0.9023674666881562,1.0409960861233252,0
0.1,RMSprop,32,0.1,500,10,0.8240046948194504,1.5753174121358602,0
0.1,RMSprop,32,0.1,1000,10,0.923648163676262,1.611544618801402,0
0.1,RMSprop,32,0.1,500,20,0.7595377936959267,1.522971671851007,0
0.1,RMSprop,32,0.1,1000,20,0.8272622734308243,1.5616108119011367,0
0.1,RMSprop,32,0.1,500,30,0.8361626207828522,1.564534110688886,0
0.1,RMSprop,32,0.1,1000,30,0.7923213690519333,1.5436978435586055,0
0.1,RMSprop,128,0.001,500,10,0.8611531376838684,1.0051077276822986,0
0.1,RMSprop,128,0.001,1000,10,0.9678130239248276,1.2835029391149968,0
0.1,RMSprop,128,0.001,500,20,0.8959466993808747,1.0327366531269604,0
0.1,RMSprop,128,0.001,1000,20,0.8677831143140793,1.0099534588656585,0
0.1,RMSprop,128,0.001,500,30,0.8862614542245865,1.0310206042533203,0
0.1,RMSprop,128,0.001,1000,30,0.985055661201477,1.1212290266875848,0
0.1,RMSprop,128,0.1,500,10,0.8109720304608345,2.3519391439440787,0
0.1,RMSprop,128,0.1,1000,10,0.8546843349933624,2.343944938182205,0
0.1,RMSprop,128,0.1,500,20,0.7840640395879745,2.3354514748675856,0
0.1,RMSprop,128,0.1,1000,20,0.7961923897266387,2.3546381407932664,0
0.1,RMSprop,128,0.1,500,30,0.7960260808467865,2.33944332918851,0
0.1,RMSprop,128,0.1,1000,30,0.8267866522073746,2.3489343905585534,0
0.1,RMSprop,512,0.001,500,10,1.369951742887497,2.0840208613482787,0
0.1,RMSprop,512,0.001,1000,10,1.3477611601352693,2.143524080722728,0
0.1,RMSprop,512,0.001,500,20,1.133304738998413,1.5343579223366128,0
0.1,RMSprop,512,0.001,1000,20,0.97661452293396,1.2781245268935095,0
0.1,RMSprop,512,0.001,500,30,1.2166364133358,1.6383273757167829,0
0.1,RMSprop,512,0.001,1000,30,1.1218735992908475,1.5953114956993657,0
0.1,RMSprop,512,0.1,500,10,1.021013331413269,4.331217165955994,0
0.1,RMSprop,512,0.1,1000,10,3.529205256700516,13.332606892267233,0
0.1,RMSprop,512,0.1,500,20,1.074763172864914,4.349804441945236,0
0.1,RMSprop,512,0.1,1000,20,1.190930324792862,4.2526108407853735,0
0.1,RMSprop,512,0.1,500,30,1.242846232652664,4.443931153115216,0
0.1,RMSprop,512,0.1,1000,30,0.9439800798892974,4.298188209307428,0
1e-06,adam,32,0.001,500,10,4.3525307178497314,4.417729513772232,1
1e-06,adam,32,0.001,1000,10,4.349355340003967,4.414728489149027,1
1e-06,adam,32,0.001,500,20,4.347610354423523,4.41228552234907,1
1e-06,adam,32,0.001,1000,20,4.351820278167724,4.416984166423322,1
1e-06,adam,32,0.001,500,30,4.349010682106018,4.414048748163728,1
1e-06,adam,32,0.001,1000,30,4.35004153251648,4.415631785998357,1
1e-06,adam,32,0.1,500,10,4.351329016685486,5.482100647150977,1
1e-06,adam,32,0.1,1000,10,4.354351210594177,5.479843867507163,1
1e-06,adam,32,0.1,500,20,4.3483916282653805,5.473859690882322,1
1e-06,adam,32,0.1,1000,20,4.351828289031983,5.481343375338226,1
1e-06,adam,32,0.1,500,30,4.346488189697266,5.461906048151415,1
1e-06,adam,32,0.1,1000,30,4.350437116622925,5.473484923570826,1
1e-06,adam,128,0.001,500,10,4.35054383277893,4.420202730284986,1
1e-06,adam,128,0.001,1000,10,4.352126908302307,4.421262449290679,1
1e-06,adam,128,0.001,500,20,4.35041344165802,4.419849624751256,1
1e-06,adam,128,0.001,1000,20,4.352466177940369,4.422187626978657,1
1e-06,adam,128,0.001,500,30,4.348772668838501,4.417991566620182,1
1e-06,adam,128,0.001,1000,30,4.343667101860047,4.413117887985275,1
1e-06,adam,128,0.1,500,10,4.352372002601624,5.818679314172731,1
1e-06,adam,128,0.1,1000,10,4.353340029716492,5.821187784830285,1
1e-06,adam,128,0.1,500,20,4.346773028373718,5.807719490018751,1
1e-06,adam,128,0.1,1000,20,4.354314303398132,5.821637115287023,1
1e-06,adam,128,0.1,500,30,4.353144574165344,5.807916684123215,1
1e-06,adam,128,0.1,1000,30,4.346563839912415,5.803918406080578,1
1e-06,adam,512,0.001,500,10,4.355711889266968,4.425964771852813,1
1e-06,adam,512,0.001,1000,10,4.34846065044403,4.419585405557058,1
1e-06,adam,512,0.001,500,20,4.340753602981567,4.413103809054596,1
1e-06,adam,512,0.001,1000,20,4.350873970985413,4.421267561420639,1
1e-06,adam,512,0.001,500,30,4.347639107704163,4.419409948379942,1
1e-06,adam,512,0.001,1000,30,4.343208932876587,4.414231396709958,1
1e-06,adam,512,0.1,500,10,4.351909565925598,5.9652981508218215,1
1e-06,adam,512,0.1,1000,10,4.350359010696411,5.971178976606421,1
1e-06,adam,512,0.1,500,20,4.344746279716492,5.948024505154296,1
1e-06,adam,512,0.1,1000,20,4.34740047454834,5.962289895248546,1
1e-06,adam,512,0.1,500,30,4.335704827308655,5.930236678393838,1
1e-06,adam,512,0.1,1000,30,4.347732949256897,5.958143146742958,1
1e-06,RMSprop,32,0.001,500,10,4.351174807548523,4.415924565330925,1
1e-06,RMSprop,32,0.001,1000,10,4.356246113777161,4.421664801140794,1
1e-06,RMSprop,32,0.001,500,20,4.351516461372375,4.417123135184465,1
1e-06,RMSprop,32,0.001,1000,20,4.3520584344863895,4.416852394133601,1
1e-06,RMSprop,32,0.001,500,30,4.350952196121216,4.416053503887191,1
1e-06,RMSprop,32,0.001,1000,30,4.349746823310852,4.415106769018144,1
1e-06,RMSprop,32,0.1,500,10,4.352460360527038,5.484217819178575,1
1e-06,RMSprop,32,0.1,1000,10,4.350874733924866,5.481654800552201,1
1e-06,RMSprop,32,0.1,500,20,4.349110698699951,5.475789972037925,1
1e-06,RMSprop,32,0.1,1000,20,4.352462458610535,5.478773006710318,1
1e-06,RMSprop,32,0.1,500,30,4.351850843429565,5.47871894119166,1
1e-06,RMSprop,32,0.1,1000,30,4.352894735336304,5.477242499131028,1
1e-06,RMSprop,128,0.001,500,10,4.3509297370910645,4.420534007407309,1
1e-06,RMSprop,128,0.001,1000,10,4.355248951911927,4.424615955389987,1
1e-06,RMSprop,128,0.001,500,20,4.352244424819946,4.421928971571158,1
1e-06,RMSprop,128,0.001,1000,20,4.3486562967300415,4.418674521226488,1
1e-06,RMSprop,128,0.001,500,30,4.337436628341675,4.406715963629429,1
1e-06,RMSprop,128,0.001,1000,30,4.348095798492432,4.417509510783486,1
1e-06,RMSprop,128,0.1,500,10,4.352447581291199,5.817467959864523,1
1e-06,RMSprop,128,0.1,1000,10,4.355093836784363,5.824438210439194,1
1e-06,RMSprop,128,0.1,500,20,4.346625185012817,5.811662855673086,1
1e-06,RMSprop,128,0.1,1000,20,4.354011082649231,5.813685224554022,1
1e-06,RMSprop,128,0.1,500,30,4.349133491516113,5.805689835808014,1
1e-06,RMSprop,128,0.1,1000,30,4.349552154541016,5.81132183645136,1
1e-06,RMSprop,512,0.001,500,10,4.351907014846802,4.423984555474444,1
1e-06,RMSprop,512,0.001,1000,10,4.356584692001343,4.428051703363997,1
1e-06,RMSprop,512,0.001,500,20,4.35263090133667,4.42439740490673,1
1e-06,RMSprop,512,0.001,1000,20,4.348251104354858,4.419319735518539,1
1e-06,RMSprop,512,0.001,500,30,4.342966556549072,4.414889616315369,1
1e-06,RMSprop,512,0.001,1000,30,4.348079180717468,4.419366854462031,1
1e-06,RMSprop,512,0.1,500,10,4.3483555793762205,5.963295854280476,1
1e-06,RMSprop,512,0.1,1000,10,4.3581071376800535,5.974866439411933,1
1e-06,RMSprop,512,0.1,500,20,4.346185517311096,5.949805588310957,1
1e-06,RMSprop,512,0.1,1000,20,4.354937982559204,5.963715608106252,1
1e-06,RMSprop,512,0.1,500,30,4.3477925777435305,5.942309244871233,1
1e-06,RMSprop,512,0.1,1000,30,4.3478185653686525,5.955539115761292,1
0.001,adam,32,0.001,500,10,1.5958970785140991,1.8930093311426444,1
0.001,adam,32,0.001,1000,10,2.112269425392151,2.5179123425061243,1
0.001,adam,32,0.001,500,20,1.0744913339614868,1.2952486710415494,1
0.001,adam,32,0.001,1000,20,1.2989056408405304,1.580937760702377,1
0.001,adam,32,0.001,500,30,1.0865966379642489,1.2851019827565529,1
0.001,adam,32,0.001,1000,30,1.0705354869365693,1.3020112371194177,1
0.001,adam,32,0.1,500,10,1.3180483877658844,1.8293590390910457,1
0.001,adam,32,0.1,1000,10,1.959684193134308,2.882567083565743,1
0.001,adam,32,0.1,500,20,0.9696550816297532,1.2598021816893366,1
0.001,adam,32,0.1,1000,20,1.1439755797386169,1.6285497371315338,1
