learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.001,RMSprop,DeepFM,64,0.0,500,0.8187
0.001,RMSprop,DeepFM,64,0.0,1000,0.8165
0.001,RMSprop,DeepFM,64,0.01,500,0.8056
0.001,RMSprop,DeepFM,64,0.01,1000,0.8148
0.001,RMSprop,DeepFM,64,0.1,500,0.8253
0.001,RMSprop,DeepFM,64,0.1,1000,0.8144
0.0001,adam,FM,32,0.0,500,0.82
0.0001,adam,FM,32,0.0,1000,0.8137
0.0001,adam,FM,32,0.01,500,0.8041
0.0001,adam,FM,32,0.01,1000,0.8069
0.0001,adam,FM,32,0.1,500,0.8095
0.0001,adam,FM,32,0.1,1000,0.8246
0.0001,adam,FM,64,0.0,500,0.8077
0.0001,adam,FM,64,0.0,1000,0.8282
0.0001,adam,FM,64,0.01,500,0.8028
0.0001,adam,FM,64,0.01,1000,0.8119
0.0001,adam,FM,64,0.1,500,0.822
0.0001,adam,FM,64,0.1,1000,0.8304
0.0001,adam,DeepFM,32,0.0,500,0.8098
0.0001,adam,DeepFM,32,0.0,1000,0.8186
0.0001,adam,DeepFM,32,0.01,500,0.7984
0.0001,adam,DeepFM,32,0.01,1000,0.822
0.0001,adam,DeepFM,32,0.1,500,0.8185
0.0001,adam,DeepFM,32,0.1,1000,0.8061
0.0001,adam,DeepFM,64,0.0,500,0.8146
0.0001,adam,DeepFM,64,0.0,1000,0.8134
0.0001,adam,DeepFM,64,0.01,500,0.8094
0.0001,adam,DeepFM,64,0.01,1000,0.8248
0.0001,adam,DeepFM,64,0.1,500,0.8183
0.0001,adam,DeepFM,64,0.1,1000,0.8259
0.0001,RMSprop,FM,32,0.0,500,0.8187
0.0001,RMSprop,FM,32,0.0,1000,0.8065
0.0001,RMSprop,FM,32,0.01,500,0.8132
0.0001,RMSprop,FM,32,0.01,1000,0.8149
0.0001,RMSprop,FM,32,0.1,500,0.8048
0.0001,RMSprop,FM,32,0.1,1000,0.8191
0.0001,RMSprop,FM,64,0.0,500,0.8347
0.0001,RMSprop,FM,64,0.0,1000,0.8265
0.0001,RMSprop,FM,64,0.01,500,0.843
0.0001,RMSprop,FM,64,0.01,1000,0.8055
0.0001,RMSprop,FM,64,0.1,500,0.8101
0.0001,RMSprop,FM,64,0.1,1000,0.8262
0.0001,RMSprop,DeepFM,32,0.0,500,0.8254
0.0001,RMSprop,DeepFM,32,0.0,1000,0.8168
0.0001,RMSprop,DeepFM,32,0.01,500,0.8073
0.0001,RMSprop,DeepFM,32,0.01,1000,0.8048
0.0001,RMSprop,DeepFM,32,0.1,500,0.8144
0.0001,RMSprop,DeepFM,32,0.1,1000,0.8164
0.0001,RMSprop,DeepFM,64,0.0,500,0.8159
0.0001,RMSprop,DeepFM,64,0.0,1000,0.8134
0.0001,RMSprop,DeepFM,64,0.01,500,0.8171
0.0001,RMSprop,DeepFM,64,0.01,1000,0.8232
0.0001,RMSprop,DeepFM,64,0.1,500,0.8134
0.0001,RMSprop,DeepFM,64,0.1,1000,0.8064
1.0,adam,FM,32,0.0,500,0.7982
