learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.01,adam,NeuCMF0i,32,0.0,1000,0.7891
0.01,adam,NeuCMF0i,32,0.01,500,0.7207
0.01,adam,NeuCMF0i,32,0.01,1000,0.7219
0.01,adam,NeuCMF0i,32,0.1,500,0.7248
0.01,adam,NeuCMF0i,32,0.1,1000,0.7254
0.01,adam,NeuCMF0i,64,0.0,500,0.791
0.01,adam,NeuCMF0i,64,0.0,1000,0.7937
0.01,adam,NeuCMF0i,64,0.01,500,0.7204
0.01,adam,NeuCMF0i,64,0.01,1000,0.7223
0.01,adam,NeuCMF0i,64,0.1,500,0.7229
0.01,adam,NeuCMF0i,64,0.1,1000,0.7262
0.01,adam,NeuCMF0w,32,0.0,500,0.7854
0.01,adam,NeuCMF0w,32,0.0,1000,0.8329
0.01,adam,NeuCMF0w,32,0.01,500,0.731
0.01,adam,NeuCMF0w,32,0.01,1000,0.7405
0.01,adam,NeuCMF0w,32,0.1,500,0.7124
0.01,adam,NeuCMF0w,32,0.1,1000,0.7111
0.01,adam,NeuCMF0w,64,0.0,500,0.8038
0.01,adam,NeuCMF0w,64,0.0,1000,0.8426
0.01,adam,NeuCMF0w,64,0.01,500,0.7277
0.01,adam,NeuCMF0w,64,0.01,1000,0.7465
0.01,adam,NeuCMF0w,64,0.1,500,0.7116
0.01,adam,NeuCMF0w,64,0.1,1000,0.7119
0.01,adam,NeuCMFi0,32,0.0,500,0.8626
0.01,adam,NeuCMFi0,32,0.0,1000,0.9326
0.01,adam,NeuCMFi0,32,0.01,500,0.7408
0.01,adam,NeuCMFi0,32,0.01,1000,0.7622
0.001,adam,NeuCMF0i,32,0.0,500,0.7361
0.001,adam,NeuCMF0i,32,0.0,1000,0.7363
0.001,adam,NeuCMF0i,32,0.01,500,0.7163
0.001,adam,NeuCMF0i,32,0.01,1000,0.7149
0.001,adam,NeuCMF0i,32,0.1,500,0.7178
0.001,adam,NeuCMF0i,32,0.1,1000,0.7178
0.001,adam,NeuCMF0i,64,0.0,500,0.7333
0.001,adam,NeuCMF0i,64,0.0,1000,0.7365
0.001,adam,NeuCMF0i,64,0.01,500,0.7149
0.001,adam,NeuCMF0i,64,0.01,1000,0.7136
0.001,adam,NeuCMF0i,64,0.1,500,0.7184
0.001,adam,NeuCMF0i,64,0.1,1000,0.7171
0.001,adam,NeuCMF0w,32,0.0,500,0.815
0.001,adam,NeuCMF0w,32,0.0,1000,0.7974
0.001,adam,NeuCMF0w,32,0.01,500,0.7464
0.001,adam,NeuCMF0w,32,0.01,1000,0.7542
0.001,adam,NeuCMF0w,32,0.1,500,0.7171
0.001,adam,NeuCMF0w,32,0.1,1000,0.7176
0.001,adam,NeuCMF0w,64,0.0,500,0.8158
0.001,adam,NeuCMF0w,64,0.0,1000,0.8024
0.001,adam,NeuCMF0w,64,0.01,500,0.7492
0.001,adam,NeuCMF0w,64,0.01,1000,0.7546
0.001,adam,NeuCMF0w,64,0.1,500,0.7165
0.001,adam,NeuCMF0w,64,0.1,1000,0.7167
0.001,adam,NeuCMFi0,32,0.0,500,0.8684
0.001,adam,NeuCMFi0,32,0.0,1000,0.8631
0.001,adam,NeuCMFi0,32,0.01,500,0.8111
0.001,adam,NeuCMFi0,32,0.01,1000,0.823
