kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
10,10,0.001,0.1,200,0.1,0.8685872384949233
10,10,0.01,0.0001,10,0.0001,0.751595130743897
10,10,0.01,0.0001,10,0.001,0.7509419599224727
10,10,0.01,0.0001,10,0.01,0.7640870371155626
10,10,0.01,0.0001,10,0.1,0.8743265023223213
10,10,0.01,0.0001,50,0.0001,0.7506192470043304
10,10,0.01,0.0001,50,0.001,0.7536514651648958
10,10,0.01,0.0001,50,0.01,0.8412157601423566
10,10,0.01,0.0001,50,0.1,0.9019417550229064
10,10,0.01,0.0001,100,0.0001,0.7511944037742082
10,10,0.01,0.0001,100,0.001,0.7646728282783108
10,10,0.01,0.0001,100,0.01,0.8788446328454141
10,10,0.01,0.0001,100,0.1,0.9196037233978414
10,10,0.01,0.0001,200,0.0001,0.750564901686557
10,10,0.01,0.0001,200,0.001,0.7886681532722721
10,10,0.01,0.0001,200,0.01,0.8978537737382531
10,10,0.01,0.0001,200,0.1,0.9254256044605986
10,10,0.01,0.001,10,0.0001,0.7505573007364676
10,10,0.01,0.001,10,0.001,0.7496370502966907
10,10,0.01,0.001,10,0.01,0.7635171424381937
10,10,0.01,0.001,10,0.1,0.8762807555741331
10,10,0.01,0.001,50,0.0001,0.749750861996897
10,10,0.01,0.001,50,0.001,0.7542167092876847
10,10,0.01,0.001,50,0.01,0.8405876706790835
10,10,0.01,0.001,50,0.1,0.9124969123374984
10,10,0.01,0.001,100,0.0001,0.7497544483016034
10,10,0.01,0.001,100,0.001,0.7641836220731303
10,10,0.01,0.001,100,0.01,0.8772089445729263
10,10,0.01,0.001,100,0.1,0.9345695591057172
10,10,0.01,0.001,200,0.0001,0.750043608845498
10,10,0.01,0.001,200,0.001,0.7891731841786488
10,10,0.01,0.001,200,0.01,0.8921930466173608
10,10,0.01,0.001,200,0.1,0.9262099240135004
10,10,0.01,0.01,10,0.0001,0.7496702333088888
10,10,0.01,0.01,10,0.001,0.7483820173211437
10,10,0.01,0.01,10,0.01,0.7657097658295289
10,10,0.01,0.01,10,0.1,0.8756175126962468
10,10,0.01,0.01,50,0.0001,0.7494918569822194
10,10,0.01,0.01,50,0.001,0.7547890377031334
10,10,0.01,0.01,50,0.01,0.8387912783209334
10,10,0.01,0.01,50,0.1,0.9070996219144936
10,10,0.01,0.01,100,0.0001,0.7482152837751144
10,10,0.01,0.01,100,0.001,0.7636992269529208
10,10,0.01,0.01,100,0.01,0.8763952236855984
10,10,0.01,0.01,100,0.1,0.9191514214688756
10,10,0.01,0.01,200,0.0001,0.7501805017307255
10,10,0.01,0.01,200,0.001,0.7897344417626462
10,10,0.01,0.01,200,0.01,0.8887775395070378
10,10,0.01,0.01,200,0.1,0.9273999688704428
10,10,0.01,0.1,10,0.0001,0.7475602140643164
10,10,0.01,0.1,10,0.001,0.7473390310466514
10,10,0.01,0.1,10,0.01,0.763912911185857
10,10,0.01,0.1,10,0.1,0.8645673954454087
10,10,0.01,0.1,50,0.0001,0.7484022841100837
10,10,0.01,0.1,50,0.001,0.7540969604343898
10,10,0.01,0.1,50,0.01,0.8338397369910123
10,10,0.01,0.1,50,0.1,0.8842633859596598
10,10,0.01,0.1,100,0.0001,0.7483569770422484
