kernel_n_factor,kernel_n_epoch,kernel_lr,kernel_reg,update_epoch,update_lr,mae
215,25,0.0013565462471275,0.0001990685882144,19,0.0001200600758107,0.7553671989976388
48,16,0.0002822408744959,0.0002634514189902,16,0.0001384322136252,0.7465068375786216
22,22,0.000380744196277,0.000322857831686,23,0.0001131009805765,0.7477986023316328
37,18,0.0001899447818607,0.0002794996686578,108,0.0001536455914748,0.7500875611857538
29,28,0.0003212468920343,0.00024607443704,13,0.0001887612181159,0.7462350036432949
18,13,0.0002639537474522,0.000749822846666,50,0.0001253182691148,0.7454661372294349
299,24,0.0004541896308028,0.0001836983965413,28,0.0001450928231327,0.755579538458631
43,32,0.0002174349784923,0.0006051545353802,19,0.0001685420039492,0.7457715380273956
60,10,0.0003490273422112,0.0008759477328027,71,0.0002886544999451,0.7474431580555693
32,15,0.0002479523542572,0.0005537405986831,55,0.0002089228813703,0.7461734609347456
27,19,0.0137530599523813,0.0004288940073642,58,0.0276630719305004,0.8871262170730083
45,12,0.0007097046492578,0.0001330258928527,13,0.0001289092341868,0.7440905914736534
52,16,0.000417647928763,0.0001248323273351,13,0.0001289289356733,0.7478290963167188
43,21,0.0003010699340954,0.0001397643976736,10,0.0001132000247358,0.7464169966243782
18,10,0.0006400556880098,0.0001217732518063,17,0.0001486913633927,0.7466018304298205
38,25,0.0003760935476123,0.0001474274775517,21,0.0003648921663925,0.7434500494073346
60,14,0.0009670606620804,0.0001004514381408,21,0.0003089127260268,0.7480693923592715
48,27,0.0008426776694174,0.0001575591459443,25,0.0004050768027321,0.7498094146893564
36,83,0.0004007398287996,0.0001410851342889,14,0.0003736472772072,0.7463612495147428
42,18,0.0004753100437586,0.0002231903988988,20,0.0022321201163915,0.747943249832216
73,14,0.0007335903765151,0.0001708115307106,10,0.0001627182779383,0.7489178499942479
54,25,0.0003413159991812,0.0001132691523661,18,0.000556211786305,0.7487160799133776
34,21,0.0004933369984348,0.0002073236462917,24,0.0003436171441495,0.7467955126314468
10,32,0.0003672060141221,0.0001768589841125,38,0.0005025088137518,0.7462846554193031
27,13,0.086482307142435,0.0003870023752097,31,0.0002557076743691,0.8043178198972036
63,18,0.0002988818460377,0.0001299485045944,14,0.0001906949719804,0.7445923682547818
