learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
1e-05,adam,128,1e-05,1000,4.774688720703125,22.810216903686523
1e-05,adam,128,1e-05,1000,3.872485637664795,15.115346908569336
1e-05,adam,128,1e-05,1000,3.6856980323791504,13.638686180114746
1e-05,adam,128,1e-05,1000,2.313898086547852,5.785638332366943
1e-05,adam,128,1e-05,2000,4.903817653656006,24.049314498901367
1e-05,adam,128,1e-05,2000,4.918656349182129,24.194698333740234
1e-05,adam,128,1e-05,2000,3.9998972415924072,16.106014251708984
1e-05,adam,128,1e-05,2000,3.895713806152344,15.20430850982666
1e-05,adam,128,1e-05,2000,2.528294563293457,6.800907135009766
1e-05,adam,128,1e-05,4000,4.95039701461792,24.50751495361328
1e-05,adam,128,1e-05,4000,4.944271087646484,24.447240829467773
1e-05,adam,128,1e-05,4000,4.06160831451416,16.601398468017578
1e-05,adam,128,1e-05,4000,3.9208192825317374,15.400287628173828
1e-05,adam,128,1e-05,4000,2.5412440299987797,6.866204261779785
1e-05,adam,128,0.0001,500,4.191535472869873,17.908212661743164
1e-05,adam,128,0.0001,500,4.383566379547119,19.359418869018555
1e-05,adam,128,0.0001,500,3.4663028717041016,12.295469284057615
1e-05,adam,128,0.0001,500,3.154894590377808,10.300416946411133
1e-05,adam,128,0.0001,500,1.85029399394989,4.022177219390869
1e-05,adam,128,0.0001,1000,4.778093338012695,22.84039878845215
1e-05,adam,128,0.0001,1000,4.713377475738525,22.24489021301269
1e-05,adam,128,0.0001,1000,3.779639720916748,14.43333625793457
1e-05,adam,128,0.0001,1000,3.737853527069092,14.010494232177734
1e-05,adam,128,0.0001,1000,2.360440254211426,5.987411022186279
1e-05,adam,128,0.0001,2000,4.897255420684815,23.98524284362793
1e-05,adam,128,0.0001,2000,4.907156944274902,24.08185386657715
1e-05,adam,128,0.0001,2000,4.021074771881104,16.275314331054688
1e-05,adam,128,0.0001,2000,3.860621213912964,14.933431625366213
1e-05,adam,128,0.0001,2000,2.473454236984253,6.52840518951416
1e-05,adam,128,0.0001,4000,4.959225654602051,24.5950927734375
1e-05,adam,128,0.0001,4000,4.965805530548096,24.660219192504883
1e-05,adam,128,0.0001,4000,4.076435565948486,16.72278594970703
1e-05,adam,128,0.0001,4000,3.910400390625,15.318968772888184
1e-05,adam,128,0.0001,4000,2.545269727706909,6.886843681335449
1e-05,adam,128,0.001,500,4.422080993652344,19.67680549621582
1e-05,adam,128,0.001,500,4.540847301483154,20.65742492675781
1e-05,adam,128,0.001,500,3.3568389415740967,11.664192199707031
1e-05,adam,128,0.001,500,3.19313645362854,10.488083839416504
1e-05,adam,128,0.001,500,1.8621456623077397,4.029070854187012
1e-05,adam,128,0.001,1000,4.7255473136901855,22.36002540588379
