learning_rate,learner,model,embedding_size,weight_decay,train_batch_size,mae
0.001,RMSprop,FM,64,0.1,500,0.67
0.001,RMSprop,FM,64,0.1,1000,0.6684
0.001,RMSprop,DeepFM,32,0.0,500,0.4729
0.001,RMSprop,DeepFM,32,0.0,1000,0.4766
0.001,RMSprop,DeepFM,32,0.01,500,0.4995
0.001,RMSprop,DeepFM,32,0.01,1000,0.497
0.001,RMSprop,DeepFM,32,0.1,500,0.6701
0.001,RMSprop,DeepFM,32,0.1,1000,0.6695
0.001,RMSprop,DeepFM,64,0.0,500,0.4681
0.001,RMSprop,DeepFM,64,0.0,1000,0.472
0.001,RMSprop,DeepFM,64,0.01,500,0.5228
0.001,RMSprop,DeepFM,64,0.01,1000,0.5151
0.001,RMSprop,DeepFM,64,0.1,500,0.6707
0.001,RMSprop,DeepFM,64,0.1,1000,0.6698
0.0001,adam,FM,32,0.0,500,0.4839
0.0001,adam,FM,32,0.0,1000,0.4852
0.0001,adam,FM,32,0.01,500,0.5691
0.0001,adam,FM,32,0.01,1000,0.5832
0.0001,adam,FM,32,0.1,500,0.6671
0.0001,adam,FM,32,0.1,1000,0.6672
0.0001,adam,FM,64,0.0,500,0.4841
0.0001,adam,FM,64,0.0,1000,0.4858
0.0001,adam,FM,64,0.01,500,0.5623
0.0001,adam,FM,64,0.01,1000,0.5781
0.0001,adam,FM,64,0.1,500,0.6664
0.0001,adam,FM,64,0.1,1000,0.6665
0.0001,adam,DeepFM,32,0.0,500,0.4934
0.0001,adam,DeepFM,32,0.0,1000,0.4928
0.0001,adam,DeepFM,32,0.01,500,0.4867
0.0001,adam,DeepFM,32,0.01,1000,0.4868
0.0001,adam,DeepFM,32,0.1,500,0.6678
0.0001,adam,DeepFM,32,0.1,1000,0.6676
0.0001,adam,DeepFM,64,0.0,500,0.494
0.0001,adam,DeepFM,64,0.0,1000,0.4937
0.0001,adam,DeepFM,64,0.01,500,0.4863
0.0001,adam,DeepFM,64,0.01,1000,0.4874
0.0001,adam,DeepFM,64,0.1,500,0.6673
0.0001,adam,DeepFM,64,0.1,1000,0.6672
0.0001,RMSprop,FM,32,0.0,500,0.4818
0.0001,RMSprop,FM,32,0.0,1000,0.4833
0.0001,RMSprop,FM,32,0.01,500,0.5669
0.0001,RMSprop,FM,32,0.01,1000,0.5733
0.0001,RMSprop,FM,32,0.1,500,0.6677
0.0001,RMSprop,FM,32,0.1,1000,0.6677
0.0001,RMSprop,FM,64,0.0,500,0.4819
0.0001,RMSprop,FM,64,0.0,1000,0.4829
0.0001,RMSprop,FM,64,0.01,500,0.5616
0.0001,RMSprop,FM,64,0.01,1000,0.5685
0.0001,RMSprop,FM,64,0.1,500,0.6672
0.0001,RMSprop,FM,64,0.1,1000,0.6671
0.0001,RMSprop,DeepFM,32,0.0,500,0.4898
0.0001,RMSprop,DeepFM,32,0.0,1000,0.4884
0.0001,RMSprop,DeepFM,32,0.01,500,0.484
0.0001,RMSprop,DeepFM,32,0.01,1000,0.4837
0.0001,RMSprop,DeepFM,32,0.1,500,0.6686
0.0001,RMSprop,DeepFM,32,0.1,1000,0.6688
0.0001,RMSprop,DeepFM,64,0.0,500,0.4906
0.0001,RMSprop,DeepFM,64,0.0,1000,0.4889
0.0001,RMSprop,DeepFM,64,0.01,500,0.4845
0.0001,RMSprop,DeepFM,64,0.01,1000,0.484
0.0001,RMSprop,DeepFM,64,0.1,500,0.668
0.0001,RMSprop,DeepFM,64,0.1,1000,0.6685
1e-05,adam,FM,32,0.0,500,0.5618
1e-05,adam,FM,32,0.0,1000,0.6026
1e-05,adam,FM,32,0.01,500,0.6163
1e-05,adam,FM,32,0.01,1000,0.6348
1e-05,adam,FM,32,0.1,500,0.6716
1e-05,adam,FM,32,0.1,1000,0.6776
1e-05,adam,FM,64,0.0,500,0.5359
1e-05,adam,FM,64,0.0,1000,0.5747
1e-05,adam,FM,64,0.01,500,0.6078
1e-05,adam,FM,64,0.01,1000,0.6237
1e-05,adam,FM,64,0.1,500,0.6695
1e-05,adam,FM,64,0.1,1000,0.674
1e-05,adam,DeepFM,32,0.0,500,0.4893
1e-05,adam,DeepFM,32,0.0,1000,0.4907
1e-05,adam,DeepFM,32,0.01,500,0.5087
1e-05,adam,DeepFM,32,0.01,1000,0.585
1e-05,adam,DeepFM,32,0.1,500,0.6737
1e-05,adam,DeepFM,32,0.1,1000,0.6783
1e-05,adam,DeepFM,64,0.0,500,0.4885
1e-05,adam,DeepFM,64,0.0,1000,0.4897
1e-05,adam,DeepFM,64,0.01,500,0.4936
1e-05,adam,DeepFM,64,0.01,1000,0.5522
1e-05,adam,DeepFM,64,0.1,500,0.6716
1e-05,adam,DeepFM,64,0.1,1000,0.6754
1e-05,RMSprop,FM,32,0.0,500,0.5673
1e-05,RMSprop,FM,32,0.0,1000,0.6105
1e-05,RMSprop,FM,32,0.01,500,0.6178
1e-05,RMSprop,FM,32,0.01,1000,0.6383
1e-05,RMSprop,FM,32,0.1,500,0.6723
1e-05,RMSprop,FM,32,0.1,1000,0.6771
1e-05,RMSprop,DeepFM,64,0.0,500,0.489
1e-05,RMSprop,DeepFM,64,0.0,1000,0.4892
1e-05,RMSprop,DeepFM,64,0.01,500,0.5123
1e-05,RMSprop,DeepFM,64,0.01,1000,0.5745
1e-05,RMSprop,DeepFM,64,0.1,500,0.6725
1e-05,RMSprop,DeepFM,64,0.1,1000,0.6759
