learning_rate,learner,embedding_size,weight_decay,train_batch_size,mae,rmse
0.01,RMSprop,128,0.1,500,0.6055032014846802,0.5962809324264526
0.01,RMSprop,128,0.1,500,0.5879443287849426,0.5703166127204895
0.01,RMSprop,128,0.1,500,0.6013362407684326,0.5827119946479797
0.01,RMSprop,128,0.1,500,0.5991994142532349,0.581275463104248
0.01,RMSprop,128,0.1,500,0.5978058576583862,0.5857574343681335
0.01,RMSprop,128,0.1,1000,0.6060240268707275,0.5901459455490112
0.01,RMSprop,128,0.1,1000,0.5841061472892761,0.5646821856498718
0.01,RMSprop,128,0.1,1000,0.598242998123169,0.5884031653404236
0.01,RMSprop,128,0.1,1000,0.5893779397010803,0.5727338790893555
0.01,RMSprop,128,0.1,1000,0.5996496677398682,0.5856784582138062
0.1,adam,32,0.01,500,0.6715859174728394,0.6710737347602844
0.1,adam,32,0.01,500,0.6822959184646606,0.7007295489311218
0.1,adam,32,0.01,500,0.6885218024253845,0.7077691555023193
0.1,adam,32,0.01,500,0.6765817403793335,0.677786648273468
0.1,adam,32,0.01,500,0.6441053152084351,0.6497838497161865
0.1,adam,32,0.01,1000,0.6604732275009155,0.6722493171691895
0.1,adam,32,0.01,1000,0.6232348680496216,0.6099217534065247
0.1,adam,32,0.01,1000,0.6293764710426331,0.6187970042228699
0.1,adam,32,0.01,1000,0.6188463568687439,0.6108356714248657
0.1,adam,32,0.01,1000,0.6225265264511108,0.6194020509719849
0.1,adam,32,0.1,500,0.6645204424858093,0.7039264440536499
0.1,adam,32,0.1,500,0.6732878684997559,0.6782251596450806
0.1,adam,32,0.1,500,0.666567862033844,0.67024165391922
0.1,adam,32,0.1,500,0.6303586959838867,0.6341139078140259
0.1,adam,32,0.1,500,0.6898770928382874,0.7618208527565002
0.1,adam,32,0.1,1000,0.631730854511261,0.6253998875617981
0.1,adam,32,0.1,1000,0.640878438949585,0.6288010478019714
0.1,adam,32,0.1,1000,0.6528058052062988,0.6479985117912292
0.1,adam,32,0.1,1000,0.6428636312484741,0.6357797980308533
0.1,adam,32,0.1,1000,0.6470535397529602,0.6386494636535645
0.1,adam,128,0.01,500,0.8152846097946167,1.0719808340072632
0.1,adam,128,0.01,500,0.8039209246635437,1.040770411491394
0.1,adam,128,0.01,500,0.813143253326416,1.0609214305877686
0.1,adam,128,0.01,500,0.8295776844024658,1.1377493143081665
0.1,adam,128,0.01,500,0.8501903414726257,1.1719505786895752
0.1,adam,128,0.01,1000,0.6953504681587219,0.7532587647438049
0.1,adam,128,0.01,1000,0.7232693433761597,0.7938235998153687
0.1,adam,128,0.01,1000,0.7739737629890442,0.9916995763778688
0.1,adam,128,0.01,1000,0.6829450130462646,0.7276731729507446
0.1,adam,128,0.01,1000,0.7349892258644104,0.829833984375
0.1,adam,128,0.1,500,0.7453868389129639,0.9307684898376464
0.1,adam,128,0.1,500,0.8086715936660767,1.0584580898284912
0.1,adam,128,0.1,500,0.8272989392280579,1.123896837234497
0.1,adam,128,0.1,500,0.8551202416419983,1.2069029808044434
0.1,adam,128,0.1,500,0.8065184950828552,1.065881609916687
0.1,adam,128,0.1,1000,0.735397219657898,0.8250128626823425
0.1,adam,128,0.1,1000,0.7189666628837585,0.7847316861152649
0.1,adam,128,0.1,1000,0.7029977440834045,0.7605961561203003
0.1,adam,128,0.1,1000,0.7180216312408447,0.7877268195152283
0.1,adam,128,0.1,1000,0.6793479919433594,0.7156074643135071
0.1,RMSprop,32,0.01,500,0.690368115901947,0.6964637637138367
0.1,RMSprop,32,0.01,500,0.6535875797271729,0.6617870330810547
0.1,RMSprop,32,0.01,500,0.6766427159309387,0.6986060738563538
0.1,RMSprop,32,0.01,500,0.6466734409332275,0.6420885324478149
0.1,RMSprop,32,0.01,500,0.6787469983100891,0.6839319467544556
0.1,RMSprop,32,0.01,1000,0.7100239396095276,0.7683964371681213
0.1,RMSprop,32,0.01,1000,0.6320673227310181,0.6214907765388489
0.1,RMSprop,32,0.01,1000,0.6660728454589844,0.6844257712364197
0.1,RMSprop,32,0.01,1000,0.6324198842048645,0.6126446723937988
0.1,RMSprop,32,0.01,1000,0.6446996331214905,0.6648641228675842
0.1,RMSprop,32,0.1,500,0.6740359663963318,0.6873435378074646
0.1,RMSprop,32,0.1,500,0.6544439792633057,0.6851781606674194
0.1,RMSprop,32,0.1,500,0.7023670077323914,0.7275235056877136
0.1,RMSprop,32,0.1,500,0.6804125308990479,0.6872693300247192
0.1,RMSprop,32,0.1,500,0.6666035652160645,0.6777245998382568
0.1,RMSprop,32,0.1,1000,0.6657395958900452,0.6777365803718567
0.1,RMSprop,32,0.1,1000,0.6230573058128357,0.6217895150184631
0.1,RMSprop,32,0.1,1000,0.6390522718429565,0.6534848809242249
0.1,RMSprop,32,0.1,1000,0.6555336713790894,0.6938480734825134
0.1,RMSprop,32,0.1,1000,0.6314887404441833,0.6525692939758301
0.1,RMSprop,128,0.01,500,0.7435982823371887,0.8696921467781067
0.1,RMSprop,128,0.01,500,0.6571118831634521,0.6755020022392273
0.1,RMSprop,128,0.01,500,0.6817858815193176,0.6840289235115051
0.1,RMSprop,128,0.01,500,0.7274340391159058,0.8134652376174927
0.1,RMSprop,128,0.01,500,0.6947392225265503,0.7153276205062866
0.1,RMSprop,128,0.01,1000,0.7221198678016663,0.7495968341827393
